Acc_sugg,ROC_sugg,pr_sugg,recall_sugg,f1_sugg,gmean_sugg,f3_sugg
0.74025974,0.739498645,0.702838227,0.751219512,0.746657917,0.73164226,0.749211672
0.724675325,0.729607046,0.704586921,0.653658537,0.714198099,0.723762747,0.664638913
0.690909091,0.695867209,0.675902004,0.619512195,0.678317682,0.689110273,0.630047597
0.709090909,0.71395664,0.690528828,0.63902439,0.694393551,0.69939626,0.647776651
0.719480519,0.720663957,0.692039567,0.702439024,0.720627056,0.714185221,0.705075501
0.680519481,0.683739837,0.6614581,0.634146341,0.669029011,0.674606651,0.640020636
0.701298701,0.705284553,0.683361596,0.643902439,0.684547228,0.692124597,0.650168283
0.688311688,0.694105691,0.671253947,0.604878049,0.649326447,0.668998715,0.611324231
0.706493506,0.711517615,0.686784511,0.634146341,0.688427206,0.699985626,0.643118567
0.701298701,0.70596206,0.682285073,0.634146341,0.684362936,0.693807686,0.642141441
0.732467532,0.737601626,0.713771365,0.658536585,0.715115636,0.720946982,0.667085938
0.672727273,0.679471545,0.660397326,0.575609756,0.651308652,0.669792002,0.58908744
0.703896104,0.710094851,0.693137511,0.614634146,0.688978393,0.701675848,0.627890904
0.675324675,0.683265583,0.666922016,0.56097561,0.64662389,0.669563052,0.575880065
